model,accuracy,latency,cost,leaderboard_score,efficiency,latency_score
gemini-ultra,93.23,3056.5,0.03873,0.0,2407.115747075986,0.0003271716013979481
mistral-7b,79.19,868.0,0.00211,0.0,37513.02700142113,0.0011520737313916202
gemini-ultra,88.91,3119.1,0.02731,0.0,3255.4648310204675,0.00032060530270892077
gpt-4,90.44,3076.5,0.05273,0.0,1715.120138059206,0.0003250446935397222
mistral-7b,78.9,763.9,0.00225,0.0,35051.08840515327,0.0013090718663318866
claude-3-opus,87.73,3367.5,0.037,0.0,2371.016999540553,0.0002969561988724703
gemini-pro,86.4,842.2,0.00732,0.0,11801.666439011064,0.001187366419867767
mistral-7b,75.84,791.1,0.00241,0.0,31455.82745748652,0.001264062695911942
gemini-pro,76.14,1751.4,0.01335,0.0,5702.943599730357,0.0005709717936673679
llama-3-70b,80.39,997.6,0.00571,0.0,14076.3438977412,0.00100240577285244
gpt-3.5-turbo,85.67,1314.9,0.00843,0.0,10161.309453208398,0.000760514106958313
gemini-ultra,87.81,3084.9,0.03129,0.0,2806.2382154613147,0.00032415961608993495
claude-3-opus,91.6,2345.8,0.03744,0.0,2446.515851606527,0.000426293801506397
llama-3-70b,79.83,897.6,0.00287,0.0,27805.642633228836,0.0011140819951937588
gemini-ultra,90.25,3297.7,0.03247,0.0,2779.4031597425396,0.0003032416531815382
mistral-7b,70.46,387.5,0.00269,0.0,26183.57487922705,0.002580645154630593
claude-3-opus,88.48,2311.3,0.03533,0.0,2504.3163227760324,0.0004326569461200809
gpt-4,92.67,2499.8,0.048,0.0,1930.5847794837607,0.0004000320024001792
mistral-7b,72.71,496.3,0.00153,0.0,47491.83540169824,0.0020149103324301624
claude-3-opus,96.39,3293.8,0.02751,0.0,3503.689433317582,0.00030360070426146073
claude-3-sonnet,85.99,1995.7,0.02204,0.0,3901.3656367678414,0.0005010773159788158
gemini-pro,81.28,1104.3,0.01239,0.0,6559.599709466549,0.0009055510269803938
gemini-pro,80.49,1268.4,0.01302,0.0,6181.552876123185,0.000788394827508361
claude-3-sonnet,86.33,1471.3,0.02047,0.0,4217.185286502858,0.0006796710387550662
gpt-3.5-turbo,83.99,1221.2,0.00744,0.0,11287.461362720063,0.0008188666878325689
gpt-4,92.0,3102.4,0.048,0.0,1916.6267369429802,0.00032233109840048635
claude-3-sonnet,88.14,1628.8,0.01983,0.0,4444.5565024456655,0.0006139489190729685
gpt-3.5-turbo,83.47,1109.5,0.00889,0.0,9388.145315487573,0.0009013068941853926
claude-3-opus,92.56,3139.5,0.03713,0.0,2492.795777113463,0.00031852205755103616
claude-3-sonnet,87.85,1634.7,0.01395,0.0,6297.039638735574,0.0006117330393272569
claude-3-opus,97.75,2544.1,0.03782,0.0,2584.542978768409,0.00039306631013204425
gpt-4,90.37,2441.2,0.0334,0.0,2705.607616538427,0.00040963460576370865
gemini-ultra,90.86,2152.0,0.04137,0.0,2196.224408402021,0.0004646840146539573
claude-3-opus,90.5,2482.0,0.04333,0.0,2088.574000138469,0.00040290088621962094
llama-3-70b,77.25,837.2,0.00447,0.0,17278.013867143814,0.0011944577147701173
claude-3-sonnet,88.75,1749.2,0.01963,0.0,4520.910804340074,0.0005716899150630631
llama-3-70b,85.08,1199.8,0.00404,0.0,21054.194506310316,0.000833472244679553
gemini-pro,82.34,1109.9,0.01107,0.0,7437.449191581611,0.000900982069645029
llama-3-70b,82.03,798.4,0.00385,0.0,21300.960789405348,0.0012525050084512713
gpt-3.5-turbo,83.77,1449.7,0.0085,0.0,9854.134807669685,0.0006897978887426378
llama-3-70b,79.37,648.5,0.00417,0.0,19029.00982977703,0.0015420200438827755
gemini-pro,85.32,1286.8,0.01513,0.0,5638.754874099531,0.000777121541205221
gpt-3.5-turbo,85.27,1363.2,0.00997,0.0,8551.800220639856,0.0007335680745792487
llama-3-70b,77.89,956.5,0.00395,0.0,19713.996456593264,0.001045478305232119
claude-3-opus,93.26,2794.4,0.03983,0.0,2341.392382817404,0.0003578585741633773
gpt-3.5-turbo,85.48,1423.6,0.00782,0.0,10929.548651067638,0.0007024445063905279
mistral-7b,72.83,649.5,0.0025,0.0,29120.351859256294,0.0015396458790767576
llama-3-70b,82.91,912.8,0.00303,0.0,27354.00857802705,0.0010955302354343447
claude-3-sonnet,84.37,1438.1,0.01811,0.0,4658.49483739164,0.0006953619354041013
gemini-pro,86.0,1484.9,0.0148,0.0,5810.418214985474,0.0006734460228477028
claude-3-sonnet,87.34,1454.5,0.02085,0.0,4188.767924799769,0.0006875214845737218
gemini-pro,82.31,1384.8,0.01136,0.0,7244.9608309127725,0.0007221259382422545
mistral-7b,70.36,624.8,0.00228,0.0,30846.12012275318,0.0016005121613308065
gpt-3.5-turbo,77.87,1348.9,0.00845,0.0,9214.294166370846,0.0007413447989166396
gpt-3.5-turbo,79.89,1022.2,0.00527,0.0,15156.516789982925,0.0009782821356111504
mistral-7b,83.22,721.6,0.0007,0.0,118716.11982881598,0.0013858093107181133
claude-3-sonnet,87.8,1299.0,0.01586,0.0,5535.590441964567,0.0007698229401310061
gemini-ultra,93.79,1894.8,0.03504,0.0,2676.578864758426,0.0005277601854930546
claude-3-sonnet,88.51,1662.7,0.01154,0.0,7669.179447188286,0.0006014314063863406
claude-3-sonnet,88.89,1294.3,0.01857,0.0,4786.495072963222,0.0007726184031734386
mistral-7b,65.39,562.8,0.00215,0.0,30399.814039981404,0.001776830131881965
gemini-ultra,90.54,2215.7,0.04074,0.0,2222.331312437103,0.0004513246376082843
gpt-3.5-turbo,86.87,1271.4,0.01037,0.0,8376.24144248385,0.0007865345282471806
gemini-pro,83.12,1587.0,0.01268,0.0,6554.6881160791745,0.0006301197223502711
gemini-pro,82.96,1270.0,0.01475,0.0,5624.025489797302,0.0007874015741831483
gpt-4,96.88,2784.7,0.03568,0.0,2715.1705389422937,0.0003591051099367598
claude-3-opus,94.45,1825.2,0.03805,0.0,2482.194948884392,0.0005478851629696005
llama-3-70b,83.59,978.8,0.00375,0.0,22284.72407358038,0.0010216591734555996
gemini-pro,84.63,1483.7,0.01478,0.0,5725.593667546174,0.0006739906984740912
gpt-3.5-turbo,84.93,1192.2,0.01169,0.0,7264.562483962022,0.0008387854379812233
mistral-7b,76.63,693.5,0.00179,0.0,42786.15298715801,0.0014419610649719378
gpt-3.5-turbo,81.95,1292.8,0.00745,0.0,10998.523688095558,0.0007735148508868232
mistral-7b,71.82,549.4,0.00307,0.0,23386.51904916965,0.0018201674520928878
gemini-ultra,95.55,2583.0,0.03032,0.0,3151.281290194914,0.0003871467284602607
gpt-4,97.19,3116.2,0.04168,0.0,2331.7578752909,0.000320903664616872
gpt-4,89.94,3690.4,0.03887,0.0,2313.807208458748,0.00027097333615028906
claude-3-opus,91.38,2175.1,0.03077,0.0,2969.679243443502,0.000459748976847157
mistral-7b,77.89,737.5,0.00166,0.0,46893.437688139675,0.0013559322015512783
mistral-7b,80.33,765.0,0.00238,0.0,33737.92524149516,0.0013071895407749156
mistral-7b,80.78,533.6,0.00161,0.0,50142.76846679081,0.00187406296500363
gemini-pro,84.88,1223.0,0.012,0.0,7072.7439380051665,0.000817661487475338
gemini-pro,82.17,1191.2,0.01113,0.0,7382.086065941965,0.000839489589624337
gpt-4,91.71,2596.2,0.05059,0.0,1812.77302286968,0.00038517833742193275
claude-3-sonnet,84.09,1394.4,0.02018,0.0,4166.790545562658,0.0007171543310978525
claude-3-opus,93.61,2490.5,0.04825,0.0,1940.0634183747486,0.0004015257978713006
mistral-7b,79.13,602.8,0.00163,0.0,48516.24770079706,0.0016589250138372182
llama-3-70b,82.71,722.5,0.00183,0.0,45172.03713817586,0.001384083043067013
gpt-3.5-turbo,87.79,1260.1,0.00601,0.0,14604.891033105974,0.0007935878098614493
gpt-3.5-turbo,82.96,1019.5,0.01244,0.0,6668.274254481151,0.0009808729759873732
gpt-4,92.71,2963.3,0.04779,0.0,1939.9050030340438,0.00033746161362755654
mistral-7b,82.51,683.5,0.00278,0.0,29669.18374685365,0.0014630577886421978
llama-3-70b,78.95,1114.8,0.0032,0.0,24664.1674476726,0.0008970218865294026
claude-3-opus,94.96,3048.6,0.04431,0.0,2143.034460969059,0.0003280194186419933
claude-3-opus,95.06,2713.5,0.0365,0.0,2604.312210624367,0.0003685277315759986
mistral-7b,70.78,906.2,0.00102,0.0,69324.19196865818,0.0011035091579082881
gpt-4,93.66,2590.8,0.05003,0.0,1872.0393356119205,0.0003859811639702095
llama-3-70b,82.33,839.0,0.00228,0.0,36093.8185006576,0.0011918951118094219
llama-3-70b,73.02,1047.8,0.0048,0.0,15209.331389293897,0.0009543806060752237
gemini-ultra,91.58,2685.0,0.03197,0.0,2864.470926777392,0.0003724394784460188
mistral-7b,71.71,810.6,0.00222,0.0,32287.257991895534,0.0012336540818731136
claude-3-sonnet,89.32,1645.9,0.02137,0.0,4179.495578119881,0.0006075703258961234
claude-3-sonnet,89.02,1298.7,0.01918,0.0,4641.051040091757,0.0007700007694078688
llama-3-70b,84.3,917.0,0.00301,0.0,27997.343075390232,0.0010905125397050028
claude-3-sonnet,84.55,1386.4,0.01966,0.0,4300.391638268653,0.0007212925557405563
llama-3-70b,83.78,783.9,0.0047,0.0,17821.740055307382,0.001275672915836621
mistral-7b,69.12,864.3,0.00236,0.0,29275.730622617535,0.0011570056679891176
gemini-ultra,83.4,2548.5,0.034,0.0,2452.8690332637275,0.0003923876788729105
gpt-3.5-turbo,81.79,1116.9,0.00946,0.0,8644.963534510096,0.0008953353022693746
gpt-3.5-turbo,80.06,1092.3,0.00615,0.0,13015.769793529507,0.0009154994040872476
gpt-3.5-turbo,86.09,1096.5,0.00947,0.0,9089.853236194702,0.0009119927032266368
gemini-ultra,87.89,2086.7,0.04084,0.0,2152.004113513381,0.0004792255712468369
gemini-ultra,88.73,2856.1,0.039,0.0,2275.069870003333,0.00035012779652318627
claude-3-sonnet,86.75,1208.7,0.01551,0.0,5592.805106053769,0.0008273351527861874
gemini-ultra,91.63,2493.2,0.03836,0.0,2388.6238627772996,0.00040109096727053954
gemini-ultra,91.9,2409.5,0.03674,0.0,2501.2928336191176,0.00041502386369992786
gpt-3.5-turbo,84.77,1042.1,0.01062,0.0,7981.357687600039,0.0009596008051438433
gpt-4,93.17,3084.2,0.05012,0.0,1858.9014584705014,0.00032423318840404865
gemini-ultra,89.56,2735.9,0.03949,0.0,2267.858499404928,0.0003655104351893306
gemini-pro,83.72,1087.5,0.0129,0.0,6489.419424850787,0.0009195402290395031
mistral-7b,77.12,745.6,0.0016,0.0,48169.893816364776,0.0013412017149393753
gemini-pro,76.57,1559.4,0.01078,0.0,7102.309618773768,0.0006412722838006461
claude-3-sonnet,85.77,1033.2,0.01601,0.0,5356.942102304665,0.0009678668205885918
gpt-4,93.93,3354.0,0.04026,0.0,2333.0269988326177,0.0002981514608532643
llama-3-70b,82.95,891.2,0.00341,0.0,24318.381706244505,0.001122082584019207
gemini-pro,84.99,1224.1,0.01349,0.0,6299.755392483878,0.0008169267210056966
mistral-7b,83.06,646.7,0.00198,0.0,41928.319030792525,0.0015463120433797555
claude-3-opus,94.51,2899.3,0.05234,0.0,1805.6590435796031,0.00034491084042875494
gemini-ultra,90.17,2741.6,0.02997,0.0,3008.5749557905974,0.00036475051051767203
claude-3-opus,91.74,2724.5,0.03899,0.0,2352.850657844118,0.00036703982368616636
gpt-4,99.5,2638.6,0.03414,0.0,2914.3844644269357,0.0003789888575839503
claude-3-opus,96.1,2726.4,0.04445,0.0,2161.9311151605134,0.0003667840374241549
claude-3-opus,93.53,2737.5,0.05375,0.0,1740.060650034418,0.0003652968035195263
gemini-ultra,86.79,2525.6,0.0418,0.0,2076.266118035454,0.0003959455177399646
gemini-ultra,90.49,2439.8,0.0341,0.0,2653.5878713234215,0.0004098696612796665
claude-3-opus,90.23,2068.9,0.03092,0.0,2918.0815626920216,0.00048334863913995427
gemini-ultra,89.28,2606.3,0.03446,0.0,2590.7547662575084,0.0003836856845398896
gemini-ultra,90.37,2552.3,0.03475,0.0,2600.500705015683,0.00039180347122524646
gemini-ultra,93.13,2697.3,0.03991,0.0,2333.4419082458467,0.00037074111134440327
gpt-4,95.0,2683.3,0.04382,0.0,2167.9103626115334,0.00037267543682306285
claude-3-sonnet,86.5,1530.2,0.02135,0.0,4051.332490281485,0.0006535093447565615
claude-3-opus,87.41,3255.0,0.04703,0.0,1858.5613744126213,0.0003072196619639878
gemini-ultra,85.08,2345.5,0.04437,0.0,1917.4686168894098,0.0004263483264010453
mistral-7b,73.63,740.1,0.00199,0.0,36981.41637368156,0.0013511687591525891
claude-3-opus,91.11,2780.1,0.03944,0.0,2310.0327070814633,0.0003596992912630124
gpt-4,90.02,3558.4,0.04586,0.0,1962.8878567846318,0.00028102517977713997
claude-3-opus,89.84,2872.9,0.04037,0.0,2225.3597879666095,0.00034808033682060625
claude-3-opus,89.74,3072.9,0.04636,0.0,1935.6786954552317,0.00032542549372728514
gemini-ultra,92.31,2530.4,0.04343,0.0,2125.440353664433,0.00039519443550616723
gemini-ultra,90.65,2495.8,0.03214,0.0,2820.3851778102735,0.0004006731306993056
claude-3-sonnet,91.12,2221.7,0.01159,0.0,7861.271676300579,0.00045010577465449627
claude-3-opus,94.91,2652.7,0.03877,0.0,2447.9636841969514,0.0003769744032958969
llama-3-70b,85.26,981.1,0.00323,0.0,26388.11513463324,0.0010192640902871634
gpt-4,94.29,3060.1,0.04929,0.0,1912.9252804771663,0.0003267867062099975
gpt-4,90.8,2616.9,0.04402,0.0,2062.6519161309375,0.00038213152952648876
mistral-7b,83.28,660.3,0.002,0.0,41619.1904047976,0.0015144631205293608
llama-3-70b,80.13,619.4,0.00374,0.0,21419.406575781875,0.0016144656092759678
gemini-ultra,91.02,3178.1,0.04302,0.0,2115.7109318704815,0.0003146534091706827
gemini-pro,80.44,1333.5,0.00999,0.0,8051.246121509358,0.0007499062611549259
llama-3-70b,84.18,1052.7,0.00493,0.0,17071.58791320219,0.0009499382531111063
gemini-ultra,88.05,2828.6,0.03904,0.0,2255.3213288594043,0.0003535317823822627
claude-3-opus,95.56,3037.9,0.04556,0.0,2097.4078707666645,0.0003291747587711331
gpt-4,93.35,2852.5,0.04745,0.0,1967.2925754989355,0.00035056967560015087
mistral-7b,73.73,715.9,0.00273,0.0,26997.436836323694,0.001396843132564823
gemini-pro,89.61,1216.4,0.01052,0.0,8517.25121186199,0.0008220979934050492
gemini-pro,82.85,1191.2,0.01321,0.0,6271.289077284082,0.000839489589624337
llama-3-70b,75.9,524.2,0.00378,0.0,20074.05448294102,0.0019076688250521388
claude-3-sonnet,83.46,1664.5,0.02134,0.0,3910.782062696218,0.0006007810149589781
gemini-pro,84.67,1151.6,0.01396,0.0,6064.751808609699,0.000868357067672493
claude-3-sonnet,87.52,1448.7,0.01873,0.0,4672.468101009022,0.0006902740383169226
gemini-ultra,90.7,2487.2,0.03452,0.0,2627.386228672402,0.0004020585395617327
gemini-pro,88.49,1077.7,0.01312,0.0,6744.150598277571,0.0009279020126863671
llama-3-70b,79.93,644.6,0.00374,0.0,21365.94493450949,0.0015513496718098825
gpt-3.5-turbo,77.37,1534.5,0.00837,0.0,9242.623342491937,0.0006516780706082254
gemini-pro,83.71,1053.6,0.0116,0.0,7215.757262304975,0.0009491268024400847
claude-3-sonnet,93.07,1543.6,0.01391,0.0,6690.388900869815,0.0006478362265821221
mistral-7b,80.15,809.3,0.0027,0.0,29674.194742687894,0.0012356357330586486
gemini-ultra,87.5,2773.5,0.04102,0.0,2133.0538017113186,0.0003605552549628429
claude-3-opus,92.85,2151.8,0.03545,0.0,2619.108064652619,0.00046472720491461697
gemini-pro,81.6,906.0,0.01358,0.0,6008.394079964656,0.0011037527581636284
gpt-3.5-turbo,83.11,1114.0,0.00843,0.0,9857.668129522002,0.0008976660674168167
gemini-ultra,90.47,2460.5,0.04261,0.0,2123.1606862077865,0.00040642145888785964
mistral-7b,78.22,758.1,0.00201,0.0,38896.07160616608,0.0013190871899233778
gemini-ultra,82.81,2448.2,0.04424,0.0,1871.7931330666124,0.0004084633606696907
gpt-4,94.61,2838.2,0.05097,0.0,1856.1534990484784,0.0003523359874736326
llama-3-70b,78.43,827.5,0.00473,0.0,16577.890509406046,0.0012084592130411369
gemini-ultra,85.96,1957.7,0.03867,0.0,2222.85433529001,0.000510803493634978
gpt-4,96.64,2578.0,0.04687,0.0,2061.8292760982267,0.00038789759488444623
mistral-7b,77.1,672.5,0.0019,0.0,40557.60126249342,0.0014869888453725073
claude-3-opus,87.3,3152.0,0.04296,0.0,2032.0756034542958,0.0003172588831480778
claude-3-opus,95.12,3723.2,0.04032,0.0,2359.068475484239,0.0002685861623687725
gemini-ultra,91.68,2191.1,0.04493,0.0,2040.462041797423,0.00045639176648423546
claude-3-opus,91.54,2938.7,0.03193,0.0,2866.8065516269457,0.0003402865211350984
gemini-pro,87.53,1013.7,0.01163,0.0,7525.578196199812,0.0009864851524252884
claude-3-opus,88.87,2819.0,0.03665,0.0,2424.763307958855,0.00035473572176135664
mistral-7b,75.86,722.7,0.00187,0.0,40545.163014430786,0.0013837000119223744
gpt-4,91.25,2945.3,0.05523,0.0,1652.1518712317356,0.00033952398725443114
gemini-pro,83.59,1219.8,0.01055,0.0,7922.47180362051,0.0008198065249878615
gpt-3.5-turbo,90.48,1485.1,0.00971,0.0,9317.269076305221,0.0006733553291540265
gemini-ultra,86.96,2544.0,0.04515,0.0,1925.9817058315427,0.00039308176085177605
claude-3-sonnet,91.38,1660.4,0.01551,0.0,5891.302946296177,0.0006022645142120787
gemini-pro,74.13,1693.1,0.01316,0.0,5632.550718030545,0.000590632567130924
gpt-4,88.31,2387.2,0.04776,0.0,1848.99813655493,0.0004189008041140664
gpt-3.5-turbo,81.34,831.4,0.01065,0.0,7636.841611116328,0.0012027904724527419
gemini-pro,88.77,1478.9,0.01266,0.0,7011.294526498697,0.0006761782401270009
claude-3-sonnet,88.4,1591.2,0.02203,0.0,4012.52780173392,0.0006284565104144943
claude-3-sonnet,83.95,1386.8,0.0159,0.0,5279.542167159298,0.0007210845105847385
claude-3-opus,89.29,3732.2,0.03505,0.0,2547.4308864226414,0.00026793848125289686
mistral-7b,69.18,681.0,0.00235,0.0,29425.776265418972,0.0014684287790478286
llama-3-70b,82.89,1228.5,0.00461,0.0,17976.577748861415,0.0008140008133382166
mistral-7b,84.72,726.7,0.00186,0.0,45523.91187533584,0.0013760836639932796
gpt-3.5-turbo,78.18,1344.1,0.00687,0.0,11378.25644011061,0.0007439922619269457
claude-3-opus,88.76,2615.6,0.04609,0.0,1925.7555705018335,0.00038232145573393434
mistral-7b,71.02,774.4,0.00233,0.0,30467.610467610462,0.0012913223123820735
gpt-4,91.09,3264.2,0.05717,0.0,1593.2903045250216,0.00030635377724822204
gemini-pro,83.81,1519.3,0.01445,0.0,5799.598643692479,0.0006581978538417706
gpt-4,91.25,3257.5,0.04335,0.0,2104.911074715693,0.00030698388325188524
claude-3-sonnet,81.37,1353.9,0.01986,0.0,4096.973969085142,0.0007386069866765588
claude-3-sonnet,89.9,1985.3,0.01737,0.0,5175.292153589316,0.0005037022109989915
claude-3-sonnet,87.25,1594.2,0.02223,0.0,3924.6997436012775,0.0006272738673771961
claude-3-sonnet,87.65,1831.6,0.01962,0.0,4467.152540645227,0.000545970735670468
gemini-ultra,88.63,2162.2,0.03474,0.0,2551.164330330157,0.00046249190617773944
gpt-3.5-turbo,81.32,1070.0,0.01031,0.0,7886.722917272816,0.0009345794383788976
gemini-pro,88.54,947.0,0.01223,0.0,7238.982912272097,0.0010559662079662447
llama-3-70b,80.87,1024.6,0.00467,0.0,17313.209162920146,0.0009759906295373896
gemini-ultra,87.54,2707.9,0.04382,0.0,1997.6723488738278,0.0003692898554712915
gemini-ultra,92.71,2424.3,0.03292,0.0,2816.1355973390846,0.0004124902031875221
gemini-pro,88.67,1514.3,0.01326,0.0,6686.524394842018,0.0006603711281381687
claude-3-opus,95.91,3236.3,0.03509,0.0,2733.1794477216376,0.00030899483969069777
gemini-pro,82.95,1275.8,0.00614,0.0,13507.572056668296,0.000783821915046385
gemini-ultra,90.55,2104.2,0.03801,0.0,2382.2051511404593,0.000475239995972227
gemini-pro,85.97,1697.4,0.01024,0.0,8394.68801874817,0.0005891363257987884
gpt-3.5-turbo,84.75,1731.8,0.00604,0.0,14029.134249296474,0.0005774338834868727
gpt-4,91.84,2871.9,0.04409,0.0,2082.9647773922115,0.0003482015389295583
llama-3-70b,79.47,951.8,0.00383,0.0,20743.931088488644,0.0010506408898396293
gpt-4,91.71,2821.8,0.04382,0.0,2092.832203737934,0.00035438372657368213
mistral-7b,73.69,795.7,0.00169,0.0,43577.764636309876,0.001256755056859677
gpt-3.5-turbo,85.08,1071.5,0.00689,0.0,12346.53896386591,0.0009332711143879876
claude-3-opus,89.34,2706.3,0.03301,0.0,2706.370603738148,0.00036950818446975273
llama-3-70b,80.47,1180.8,0.00336,0.0,23942.279083606067,0.0008468834681174767
llama-3-70b,76.32,867.2,0.00402,0.0,18980.353145983583,0.0011531365300355898
claude-3-sonnet,88.12,1599.8,0.01587,0.0,5552.265137672485,0.0006250781343761231
gpt-4,92.8,2964.8,0.04557,0.0,2036.38278729894,0.00033729087954084897
gemini-ultra,92.07,2520.9,0.03705,0.0,2484.9531726539094,0.00039668372390944356
gpt-3.5-turbo,83.68,1241.9,0.00694,0.0,12055.899726264228,0.0008052178107696127
gemini-ultra,91.83,2919.7,0.03988,0.0,2302.600235701211,0.0003425009417602833
gemini-ultra,89.13,2441.9,0.03946,0.0,2258.6857910341855,0.00040951717907796505
gemini-ultra,94.28,2314.2,0.03617,0.0,2606.5079760028752,0.00043211476949610463
claude-3-sonnet,92.17,1566.1,0.01714,0.0,5377.165859634794,0.0006385288291689363
mistral-7b,71.93,814.3,0.00173,0.0,41554.01502021953,0.0012280486292176734
llama-3-70b,89.32,1020.3,0.00382,0.0,23376.07956032452,0.0009801038900518438
gpt-4,94.26,3164.1,0.04618,0.0,2041.0991533314568,0.00031604563689009653
gemini-pro,87.34,1594.5,0.01375,0.0,6351.538069958549,0.0006271558478349602
claude-3-sonnet,85.59,1248.1,0.01454,0.0,5886.115122756344,0.0008012178504917732
claude-3-opus,93.94,3232.4,0.0428,0.0,2194.8085325109228,0.00030936765242254433
llama-3-70b,78.74,794.6,0.00351,0.0,22426.6590714896,0.001258494838587346
gemini-ultra,96.56,2532.8,0.04256,0.0,2268.7436855337046,0.0003948199619414008
claude-3-opus,91.46,2863.4,0.04516,0.0,2025.198733420429,0.00034923517484485744
gemini-ultra,92.69,2434.2,0.03836,0.0,2416.2560934282214,0.00041081258712890787
gemini-ultra,90.82,2366.5,0.04025,0.0,2256.3414573550963,0.00042256496918547856
gemini-pro,78.58,1205.8,0.01417,0.0,5545.127372803613,0.0008293249288196011
