Model,Use_Case,Region,Users,Requests_per_day,Accuracy_pct,Cost_per_1K,Latency_ms,Uptime_pct,Throughput_rps
GPT-4,Chatbot,Middle East,409,6097,93.32,0.04713,3160.3,99.07,346.0
Gemini-Pro,Translation,Middle East,1422,15860,87.57,0.015,1316.2,99.21,826.8
Gemini-Ultra,Data Analysis,Asia-Pacific,1308,12479,88.56,0.03253,2480.8,99.23,388.0
Claude-3-Opus,Data Analysis,Europe,550,7217,94.15,0.03848,2962.6,99.13,339.5
Gemini-Ultra,Data Analysis,Asia-Pacific,1002,16920,91.32,0.03388,2605.2,99.18,369.0
Llama-3-70B,Chatbot,North America,1548,10081,77.09,0.00393,772.6,99.16,1029.3
GPT-4,Data Analysis,North America,80,1756,94.67,0.04298,2988.4,99.12,303.4
Gemini-Pro,Chatbot,North America,1357,8435,85.37,0.01442,1187.7,99.23,769.2
GPT-4,Content Creation,Europe,5146,75039,95.99,0.04387,2775.4,99.15,342.3
Claude-3-Opus,Code Generation,Europe,3559,38696,91.96,0.03643,2840.1,99.12,370.3
GPT-3.5-Turbo,Chatbot,Europe,2096,18373,84.07,0.00824,1366.0,99.11,869.8
Gemini-Pro,Summarization,Europe,309,3010,83.76,0.0113,1368.0,99.15,858.7
Mistral-7B,Content Creation,North America,157,683,73.58,0.00206,600.7,99.11,1589.6
GPT-3.5-Turbo,Question Answering,Asia-Pacific,224,3187,85.39,0.0096,1109.0,99.14,824.8
Mistral-7B,Question Answering,North America,7986,115731,71.63,0.00162,662.6,99.09,1431.7
Claude-3-Sonnet,Question Answering,Europe,448,2229,87.58,0.01897,1623.5,99.06,693.2
GPT-4,Chatbot,Asia-Pacific,162,2281,91.15,0.04871,2980.7,99.19,336.5
Llama-3-70B,Chatbot,Europe,426,1800,80.21,0.00478,851.2,99.18,965.1
Llama-3-70B,Code Generation,Asia-Pacific,618,4821,80.67,0.00439,976.7,99.12,1029.4
Mistral-7B,Code Generation,Europe,757,8860,77.35,0.00188,810.9,99.14,1461.2
GPT-4,Code Generation,North America,316,4253,94.44,0.03789,2911.2,99.12,326.4
Llama-3-70B,Code Generation,North America,1601,17888,84.85,0.00424,862.0,99.13,1041.8
GPT-4,Summarization,North America,1486,22395,93.98,0.04831,3114.3,99.11,339.8
Claude-3-Opus,Data Analysis,North America,517,9029,93.03,0.0439,2453.2,99.1,349.5
Claude-3-Opus,Chatbot,Europe,705,5868,90.81,0.03966,2960.4,99.09,344.8
Claude-3-Opus,Content Creation,Europe,883,4762,93.13,0.03902,2620.6,99.16,326.0
GPT-3.5-Turbo,Summarization,North America,3475,25472,81.11,0.00917,1205.0,99.07,921.0
Claude-3-Sonnet,Translation,North America,1734,10332,88.09,0.0194,1615.7,99.03,600.1
Claude-3-Opus,Data Analysis,Asia-Pacific,96,529,95.69,0.04207,2763.2,99.13,347.4
Llama-3-70B,Content Creation,Asia-Pacific,7648,69164,84.0,0.00442,971.0,99.12,1221.5
Claude-3-Opus,Chatbot,North America,105,364,90.49,0.04696,3050.3,99.14,419.5
Gemini-Pro,Chatbot,North America,241,1556,81.18,0.01223,1267.8,99.2,916.9
GPT-4,Question Answering,Latin America,703,8909,92.87,0.03987,3037.8,99.06,371.7
GPT-4,Data Analysis,North America,3074,23085,92.62,0.04705,2974.7,99.17,403.1
GPT-3.5-Turbo,Question Answering,Europe,1165,4776,84.47,0.0076,1139.6,99.11,893.7
Gemini-Pro,Chatbot,Middle East,503,3242,79.64,0.00988,1312.6,99.15,819.7
GPT-3.5-Turbo,Translation,Asia-Pacific,5847,31894,81.65,0.00728,1181.3,99.22,960.6
GPT-4,Question Answering,Europe,7364,120980,94.37,0.0598,3062.2,99.17,333.2
Mistral-7B,Content Creation,North America,931,8862,76.8,0.00213,571.8,98.98,1532.7
GPT-4,Translation,Latin America,390,2462,92.53,0.04287,2948.5,99.09,367.8
Mistral-7B,Translation,Europe,85,607,74.85,0.00199,713.5,98.97,1556.6
Mistral-7B,Chatbot,North America,3999,46575,70.49,0.00175,654.5,99.04,1441.3
GPT-4,Summarization,Asia-Pacific,319,2367,93.41,0.04596,2918.4,99.11,413.6
GPT-4,Question Answering,North America,976,15357,94.42,0.048,2814.5,99.18,392.6
Llama-3-70B,Content Creation,Europe,4610,34191,80.21,0.00416,884.0,99.19,1122.4
Claude-3-Sonnet,Data Analysis,Europe,983,5728,90.75,0.02097,1580.4,99.08,699.5
Claude-3-Opus,Chatbot,North America,1157,9909,93.71,0.04112,2737.6,99.01,386.7
GPT-3.5-Turbo,Translation,Europe,1543,25885,81.74,0.0091,1151.9,99.13,1009.6
GPT-3.5-Turbo,Code Generation,Middle East,269,3477,82.23,0.0078,1152.9,99.13,930.5
GPT-4,Translation,Europe,1882,15780,94.57,0.04364,2699.3,99.15,373.5
Gemini-Ultra,Chatbot,Asia-Pacific,1407,6210,90.85,0.03579,2477.4,99.21,427.6
Gemini-Ultra,Translation,Europe,1370,19303,90.76,0.0403,2520.7,99.13,373.2
Gemini-Ultra,Chatbot,North America,2006,26546,90.92,0.03206,2718.9,99.08,381.0
Claude-3-Opus,Translation,North America,646,3930,92.79,0.04123,2852.5,99.05,395.7
Mistral-7B,Data Analysis,North America,892,7748,76.65,0.00185,717.1,99.04,1431.1
Gemini-Pro,Content Creation,Middle East,2024,17372,85.99,0.01243,1241.4,99.13,770.7
Mistral-7B,Summarization,Middle East,202,2986,81.28,0.00159,811.3,99.06,1488.7
Claude-3-Opus,Data Analysis,Europe,5140,79453,92.51,0.03965,2642.2,99.19,390.6
GPT-4,Summarization,North America,681,12107,93.19,0.05144,3363.5,99.19,337.5
GPT-4,Chatbot,Asia-Pacific,967,15785,90.99,0.03855,3046.5,99.11,348.3
Claude-3-Sonnet,Translation,Asia-Pacific,408,7330,90.44,0.01889,1659.5,99.2,728.9
Gemini-Ultra,Chatbot,Asia-Pacific,240,3402,89.22,0.04221,2662.6,99.14,448.6
Claude-3-Sonnet,Question Answering,North America,987,5221,89.21,0.01622,1581.8,99.1,673.1
GPT-3.5-Turbo,Chatbot,Asia-Pacific,7522,47743,78.77,0.00728,1186.6,99.2,833.8
Gemini-Ultra,Translation,North America,938,10373,93.06,0.02772,2236.8,99.15,379.5
GPT-4,Chatbot,North America,3049,47358,94.18,0.04673,2824.2,99.13,382.4
Llama-3-70B,Question Answering,Latin America,163,1101,81.56,0.00335,885.0,99.23,1073.7
GPT-3.5-Turbo,Chatbot,North America,226,2424,80.96,0.00793,1045.0,99.14,829.3
Claude-3-Opus,Data Analysis,North America,2503,33818,93.34,0.03412,2743.6,99.15,387.7
Llama-3-70B,Content Creation,Europe,659,3474,86.43,0.00349,859.1,99.02,1237.9
Claude-3-Opus,Content Creation,North America,794,12637,92.22,0.03621,3133.2,99.17,385.5
Claude-3-Opus,Question Answering,Middle East,80,200,90.23,0.03488,3024.7,99.18,374.6
Claude-3-Sonnet,Question Answering,North America,1683,14278,89.55,0.01902,1486.8,99.08,622.5
Claude-3-Sonnet,Question Answering,Europe,1329,16199,89.57,0.01911,1698.4,99.09,730.5
Gemini-Ultra,Content Creation,Europe,974,16262,91.12,0.03076,2664.4,99.12,449.6
Gemini-Pro,Data Analysis,North America,2274,21409,83.94,0.0136,1283.8,99.14,861.8
GPT-3.5-Turbo,Code Generation,Latin America,1987,24655,88.03,0.00916,1191.1,99.1,897.4
GPT-4,Chatbot,Asia-Pacific,1389,6250,89.95,0.03644,3069.3,99.14,360.1
Claude-3-Opus,Summarization,Europe,2413,18718,91.64,0.03096,2841.6,99.07,403.1
Llama-3-70B,Chatbot,Asia-Pacific,957,8463,82.47,0.00448,922.4,99.02,960.4
Gemini-Ultra,Content Creation,Europe,217,3181,91.96,0.03926,2786.1,99.17,391.1
Claude-3-Sonnet,Translation,North America,458,4013,88.21,0.01974,1566.8,99.13,601.5
Claude-3-Opus,Content Creation,North America,2570,24913,95.57,0.04187,2889.7,99.12,462.7
Gemini-Ultra,Content Creation,North America,477,8889,91.84,0.03407,2645.2,99.14,394.3
Mistral-7B,Summarization,North America,2135,33559,73.94,0.00185,663.4,99.02,1454.4
GPT-4,Question Answering,North America,569,4385,95.67,0.05111,3067.5,99.16,305.0
Llama-3-70B,Question Answering,North America,1390,16205,82.76,0.00484,997.8,99.06,933.3
Gemini-Ultra,Content Creation,Europe,4017,20473,90.04,0.03431,2735.8,99.17,379.6
Claude-3-Opus,Question Answering,North America,721,12122,94.69,0.03854,2760.4,99.11,360.3
Claude-3-Sonnet,Question Answering,Europe,888,5998,92.31,0.01518,1670.8,99.1,734.6
Claude-3-Opus,Content Creation,Middle East,928,13694,93.66,0.04578,2853.2,99.16,346.8
Claude-3-Opus,Translation,North America,648,4166,90.22,0.0409,2778.5,99.01,361.9
Claude-3-Sonnet,Data Analysis,Europe,1383,17228,88.59,0.01852,1771.9,99.12,741.2
Claude-3-Sonnet,Chatbot,Latin America,791,12041,87.44,0.02214,1589.6,99.16,753.3
Gemini-Pro,Question Answering,Europe,1558,23952,82.22,0.01053,1158.6,99.17,720.8
Claude-3-Opus,Data Analysis,Asia-Pacific,714,5895,91.46,0.03826,3074.9,99.15,390.4
Llama-3-70B,Summarization,Asia-Pacific,339,2847,81.84,0.00419,896.9,99.04,1132.4
GPT-3.5-Turbo,Chatbot,Europe,1322,19238,80.6,0.00755,1139.9,99.15,954.5
Claude-3-Sonnet,Content Creation,North America,852,7171,88.74,0.01899,1624.1,99.06,583.1
GPT-3.5-Turbo,Question Answering,Europe,615,9736,78.46,0.00781,1177.0,99.18,849.5
GPT-4,Chatbot,Europe,1883,18317,94.2,0.04026,3247.4,99.16,324.4
Llama-3-70B,Question Answering,Latin America,656,5546,81.89,0.00478,937.4,99.03,1009.3
Claude-3-Opus,Chatbot,North America,376,6446,90.36,0.03726,2681.7,99.16,400.7
Claude-3-Opus,Question Answering,North America,337,5049,92.32,0.03501,2815.3,99.07,399.4
Claude-3-Opus,Summarization,Asia-Pacific,884,13682,92.19,0.04422,2486.9,99.18,387.1
Claude-3-Sonnet,Summarization,North America,778,10897,89.19,0.01623,1495.7,99.07,610.6
Gemini-Pro,Translation,Middle East,1545,14940,86.86,0.01091,1305.1,99.22,880.3
Claude-3-Opus,Chatbot,Europe,1651,24971,91.65,0.04111,2765.1,99.13,374.6
Mistral-7B,Content Creation,North America,106,902,77.42,0.00201,733.7,99.05,1575.9
Llama-3-70B,Summarization,North America,1408,22547,79.29,0.00417,910.8,99.15,1153.8
GPT-3.5-Turbo,Content Creation,Latin America,703,10217,79.13,0.00852,1096.2,99.12,878.2
Gemini-Pro,Content Creation,Asia-Pacific,488,3718,83.93,0.01199,1162.0,99.07,839.4
GPT-3.5-Turbo,Question Answering,Middle East,239,3361,86.34,0.00744,1235.0,99.14,875.1
GPT-3.5-Turbo,Content Creation,Middle East,1055,8636,80.73,0.00879,1247.0,99.12,831.4
Claude-3-Opus,Translation,Europe,3921,18810,91.65,0.04094,2781.8,99.11,403.9
GPT-3.5-Turbo,Code Generation,Latin America,474,3390,84.03,0.0099,1075.3,99.07,887.2
GPT-3.5-Turbo,Translation,Asia-Pacific,1192,12645,83.68,0.00882,1195.1,99.02,840.1
Claude-3-Sonnet,Chatbot,Middle East,1045,17588,88.63,0.01559,1673.5,99.11,610.1
Mistral-7B,Chatbot,North America,290,3526,75.02,0.00197,686.2,98.95,1457.8
Gemini-Ultra,Content Creation,Europe,715,10850,90.81,0.04291,2599.9,99.18,353.4
Llama-3-70B,Chatbot,Asia-Pacific,497,3379,79.76,0.00377,900.4,99.12,1210.9
Gemini-Pro,Data Analysis,Asia-Pacific,977,13277,83.66,0.01093,1208.3,99.1,810.1
Claude-3-Opus,Content Creation,Asia-Pacific,522,7450,95.37,0.0446,2863.5,99.14,332.9
Gemini-Pro,Translation,North America,1006,10659,85.17,0.01388,1374.8,99.18,730.4
Claude-3-Opus,Chatbot,North America,1247,18139,91.73,0.03853,2768.8,99.11,358.0
Gemini-Pro,Code Generation,Asia-Pacific,549,7746,86.57,0.0123,1306.6,99.06,870.8
Claude-3-Opus,Code Generation,North America,1101,13481,95.36,0.04193,2751.9,99.16,308.6
Claude-3-Opus,Data Analysis,Latin America,2015,20700,92.21,0.03895,2945.1,99.09,377.8
Claude-3-Sonnet,Data Analysis,Europe,1168,11570,87.34,0.01694,1552.0,99.07,712.6
Gemini-Ultra,Code Generation,Asia-Pacific,234,1104,91.44,0.03793,2503.1,99.17,420.9
Gemini-Pro,Chatbot,Latin America,1439,18074,81.6,0.01414,1409.2,99.17,833.9
GPT-4,Question Answering,Europe,1191,8061,93.05,0.04013,2755.7,99.16,294.0
Claude-3-Sonnet,Content Creation,North America,2142,19061,88.8,0.01439,1564.3,99.15,625.1
GPT-3.5-Turbo,Translation,North America,350,4033,82.63,0.00753,1049.2,99.11,902.2
Llama-3-70B,Question Answering,North America,1851,7959,79.57,0.00412,922.3,99.11,1101.1
Mistral-7B,Data Analysis,North America,80,550,74.52,0.00231,669.0,98.97,1351.4
GPT-3.5-Turbo,Summarization,Europe,840,6944,80.93,0.00869,1255.3,99.11,771.9
Mistral-7B,Translation,North America,6155,57035,73.36,0.00176,611.5,98.97,1484.1
Mistral-7B,Chatbot,North America,364,3056,80.12,0.00202,702.7,99.0,1325.0
Claude-3-Sonnet,Summarization,Europe,212,2691,87.9,0.01685,1525.3,99.1,662.4
GPT-4,Code Generation,North America,535,5208,94.47,0.04597,3185.5,99.16,311.1
GPT-4,Chatbot,North America,1613,15266,92.92,0.04437,2788.2,99.14,347.9
Gemini-Ultra,Content Creation,North America,1434,24690,92.77,0.03735,2571.9,99.15,408.3
Mistral-7B,Question Answering,North America,403,4735,72.27,0.00234,682.3,99.11,1381.6
Claude-3-Opus,Data Analysis,Middle East,1979,11567,93.31,0.03713,2913.3,99.13,391.3
Mistral-7B,Code Generation,Europe,181,1944,70.16,0.00206,671.3,99.01,1587.2
Claude-3-Opus,Chatbot,Europe,2173,29529,90.86,0.04114,2941.4,99.21,397.1
Claude-3-Sonnet,Content Creation,Latin America,1983,13883,86.78,0.01938,1464.7,99.28,725.2
GPT-3.5-Turbo,Chatbot,Asia-Pacific,496,6105,80.77,0.00684,1355.4,99.15,891.4
Claude-3-Sonnet,Chatbot,Asia-Pacific,863,14630,87.07,0.01547,1379.1,99.14,661.2
Claude-3-Opus,Content Creation,Europe,80,748,93.65,0.03505,2826.8,99.16,408.7
Claude-3-Sonnet,Data Analysis,North America,1574,23242,89.05,0.01947,1548.0,99.18,708.3
Mistral-7B,Chatbot,Middle East,1221,6371,76.93,0.00192,692.3,98.98,1595.1
GPT-4,Code Generation,Europe,1628,16757,95.54,0.04433,2936.0,99.14,361.8
Gemini-Ultra,Code Generation,Europe,340,2580,92.65,0.04583,2455.7,99.19,412.4
Claude-3-Opus,Question Answering,Asia-Pacific,1324,20778,93.47,0.04345,2866.9,99.13,416.3
Mistral-7B,Chatbot,Europe,378,1682,77.36,0.00189,707.6,99.08,1470.6
GPT-4,Question Answering,Latin America,1846,15617,94.79,0.04215,2872.6,99.18,325.0
Claude-3-Sonnet,Question Answering,North America,26243,446409,87.61,0.01647,1436.6,99.08,659.5
Llama-3-70B,Code Generation,Asia-Pacific,1651,7443,87.79,0.00422,809.6,98.98,1063.8
Llama-3-70B,Chatbot,North America,10027,115624,79.07,0.0036,914.6,98.97,1146.1
Claude-3-Opus,Data Analysis,Europe,338,3851,93.47,0.04244,2965.1,99.11,366.6
GPT-3.5-Turbo,Chatbot,Europe,2318,41486,86.52,0.00731,1194.2,99.13,875.7
GPT-3.5-Turbo,Summarization,Asia-Pacific,357,5080,80.76,0.00819,1221.8,99.24,909.8
Gemini-Pro,Content Creation,North America,191,2507,82.68,0.01225,1266.9,99.14,768.4
Mistral-7B,Translation,Asia-Pacific,2782,22685,71.01,0.00178,712.7,98.98,1575.1
GPT-3.5-Turbo,Data Analysis,Europe,3104,26573,84.65,0.00887,1239.8,99.09,732.4
Gemini-Ultra,Chatbot,Europe,2315,14884,87.69,0.03518,2587.3,99.18,360.9
GPT-4,Code Generation,Middle East,193,1225,92.2,0.05106,2951.1,99.14,396.7
Gemini-Ultra,Translation,Latin America,13806,164723,91.22,0.04157,2727.4,99.2,383.5
GPT-4,Summarization,Latin America,488,2040,91.68,0.03307,2886.4,99.11,370.9
Claude-3-Sonnet,Data Analysis,Middle East,1228,19235,91.09,0.0181,1621.1,99.13,689.5
Gemini-Ultra,Content Creation,Europe,1485,12907,91.39,0.02747,2601.3,99.21,322.5
GPT-4,Translation,Latin America,139,844,92.42,0.04588,3398.8,99.17,387.2
GPT-4,Data Analysis,Asia-Pacific,80,454,92.77,0.04471,2831.3,99.16,410.6
Gemini-Pro,Summarization,Asia-Pacific,1138,17061,83.95,0.01272,1411.8,99.24,904.4
Mistral-7B,Content Creation,Europe,18737,103259,74.91,0.00174,747.3,99.03,1382.4
GPT-3.5-Turbo,Chatbot,Latin America,80,292,83.05,0.00793,1199.7,99.05,922.4
Claude-3-Opus,Translation,Middle East,130,1897,92.29,0.03166,2931.9,99.14,322.9
Claude-3-Sonnet,Data Analysis,North America,720,8844,88.09,0.01976,1565.7,99.1,641.6
GPT-4,Code Generation,Europe,80,945,97.01,0.03784,2695.4,99.18,396.8
Gemini-Pro,Content Creation,Europe,80,1088,87.6,0.01173,1296.1,99.27,880.4
Mistral-7B,Data Analysis,North America,144,1105,76.39,0.00193,630.5,99.06,1392.4
GPT-4,Question Answering,Latin America,1781,21004,94.99,0.05722,2895.8,99.16,342.0
Llama-3-70B,Code Generation,North America,1718,29348,83.32,0.0046,869.7,98.97,1005.0
Claude-3-Opus,Summarization,North America,215,2395,91.58,0.04545,2890.3,99.11,376.5
GPT-4,Question Answering,Latin America,302,3572,94.17,0.04893,2911.2,99.09,421.6
GPT-3.5-Turbo,Content Creation,North America,782,8807,86.72,0.008,1250.3,99.17,832.9
Claude-3-Opus,Data Analysis,Europe,775,13325,94.95,0.04222,2840.3,99.15,408.3
Gemini-Pro,Translation,Asia-Pacific,1380,17142,82.72,0.01452,1322.5,99.17,862.3
Claude-3-Sonnet,Translation,Latin America,1748,22130,90.77,0.01762,1410.0,99.17,758.2
GPT-4,Content Creation,North America,468,4908,94.21,0.04615,2886.0,99.1,394.6
GPT-4,Content Creation,Middle East,1597,15533,94.94,0.04529,2871.1,99.21,347.1
Claude-3-Opus,Translation,Europe,788,11877,92.86,0.0383,2488.1,99.19,402.9
Llama-3-70B,Question Answering,Latin America,4419,31972,80.05,0.0042,984.8,99.11,1007.3
Claude-3-Opus,Chatbot,Europe,1118,14392,91.09,0.03585,2992.9,99.09,419.9
GPT-3.5-Turbo,Translation,Asia-Pacific,1559,12600,85.98,0.00825,1262.1,99.24,825.0
Gemini-Ultra,Summarization,Asia-Pacific,334,5713,87.6,0.04115,2468.9,99.15,446.0
Gemini-Ultra,Code Generation,Europe,272,4620,90.44,0.03033,2644.3,99.13,377.5
Claude-3-Sonnet,Data Analysis,Europe,2742,42611,87.7,0.01677,1697.0,99.11,682.5
Claude-3-Opus,Translation,North America,336,2557,91.07,0.03967,2791.8,99.18,412.5
GPT-4,Content Creation,Latin America,444,5074,92.57,0.04119,3187.5,99.2,352.5
GPT-4,Translation,Middle East,252,1913,94.82,0.04178,2945.7,99.14,337.5
Claude-3-Sonnet,Data Analysis,Asia-Pacific,267,2549,86.47,0.01724,1578.3,99.13,655.0
GPT-4,Code Generation,Europe,5029,39342,94.56,0.04714,3176.5,99.06,375.8
Llama-3-70B,Chatbot,Asia-Pacific,2965,44129,81.43,0.00322,923.2,98.97,1224.1
Llama-3-70B,Chatbot,Latin America,578,9492,82.21,0.00417,981.5,99.13,1073.7
Claude-3-Opus,Chatbot,Middle East,1156,15613,88.43,0.04117,2809.0,99.16,374.4
GPT-3.5-Turbo,Content Creation,Asia-Pacific,973,7454,86.04,0.00713,1223.9,99.04,952.4
Gemini-Pro,Translation,Europe,303,3123,81.46,0.01078,1169.8,99.14,913.0
Gemini-Pro,Content Creation,Asia-Pacific,677,12378,83.04,0.01314,1228.2,99.21,720.3
GPT-3.5-Turbo,Chatbot,North America,734,11751,83.74,0.00769,1043.4,99.18,881.8
Gemini-Ultra,Question Answering,North America,2208,10398,89.03,0.03487,2641.5,99.12,379.6
GPT-3.5-Turbo,Code Generation,Europe,2261,35289,84.47,0.00787,1156.7,99.16,1033.1
GPT-3.5-Turbo,Content Creation,Europe,5461,37930,86.09,0.00831,1201.0,99.13,875.6
Gemini-Ultra,Summarization,North America,788,13439,91.97,0.0397,2595.4,99.17,389.2
GPT-4,Content Creation,North America,2563,30107,94.03,0.05327,2607.5,99.07,367.7
Claude-3-Opus,Code Generation,Europe,473,1818,92.25,0.04318,2915.9,99.07,403.0
GPT-4,Question Answering,North America,907,5765,96.48,0.03801,3313.0,99.17,326.0
Claude-3-Opus,Data Analysis,Europe,789,13477,94.91,0.04022,2777.8,99.15,411.1
Mistral-7B,Data Analysis,Asia-Pacific,454,5324,78.66,0.00195,801.9,99.05,1592.3
GPT-3.5-Turbo,Question Answering,North America,1044,13895,81.02,0.00851,1114.4,99.08,1058.6
Gemini-Pro,Code Generation,Europe,970,12659,84.37,0.0109,1116.4,99.05,824.4
Claude-3-Opus,Summarization,North America,1444,14365,93.13,0.04469,2790.7,99.15,385.7
GPT-4,Question Answering,Europe,336,2068,92.98,0.04252,2732.3,99.13,392.3
Claude-3-Sonnet,Code Generation,North America,166,1009,88.96,0.01807,1647.5,99.08,673.9
Gemini-Pro,Translation,Asia-Pacific,896,11334,87.55,0.01435,1467.8,99.21,761.9
Claude-3-Sonnet,Chatbot,Asia-Pacific,414,6554,88.95,0.0185,1438.7,99.1,659.0
Mistral-7B,Chatbot,Latin America,362,2423,78.62,0.00188,685.0,99.12,1615.6
GPT-3.5-Turbo,Code Generation,Latin America,1179,16303,86.41,0.00894,1123.6,99.12,920.3
GPT-3.5-Turbo,Data Analysis,Asia-Pacific,1698,10178,88.06,0.00698,1206.7,99.09,893.3
Claude-3-Opus,Code Generation,Middle East,396,5004,95.49,0.03968,2821.4,99.13,357.3
Gemini-Ultra,Translation,Middle East,350,4456,93.9,0.03664,2768.3,99.16,391.3
Gemini-Pro,Data Analysis,Asia-Pacific,1155,8139,87.49,0.01313,1449.5,99.28,814.8
Gemini-Ultra,Content Creation,North America,14723,151278,93.18,0.03975,2792.3,99.14,345.4
Claude-3-Opus,Data Analysis,Asia-Pacific,649,4966,92.89,0.03813,2836.8,99.11,407.6
Gemini-Ultra,Data Analysis,Latin America,80,1625,92.15,0.03395,2535.1,99.18,398.5
Claude-3-Opus,Question Answering,Asia-Pacific,796,10533,93.61,0.04448,2892.0,99.13,380.5
GPT-3.5-Turbo,Translation,Europe,778,4775,83.56,0.0077,1234.3,99.17,906.4
Gemini-Ultra,Code Generation,North America,303,1691,90.72,0.03523,2450.6,99.14,375.2
GPT-3.5-Turbo,Summarization,Latin America,1101,16379,83.47,0.00835,1399.5,99.17,824.3
Gemini-Pro,Translation,Asia-Pacific,4109,27007,80.58,0.01066,1397.3,99.1,792.3
GPT-4,Chatbot,Latin America,2180,38561,93.09,0.04986,3154.1,99.17,334.7
Claude-3-Opus,Chatbot,Asia-Pacific,4421,59577,92.92,0.03563,2740.7,99.17,401.0
GPT-4,Data Analysis,Middle East,1051,11314,94.4,0.05097,3207.6,99.14,385.3
Claude-3-Opus,Code Generation,North America,333,4645,94.39,0.04279,2872.9,99.15,383.8
GPT-3.5-Turbo,Question Answering,Latin America,1399,23676,84.06,0.0075,1178.2,99.19,807.5
GPT-3.5-Turbo,Summarization,Asia-Pacific,715,10227,82.5,0.0082,1175.2,99.17,897.3
GPT-3.5-Turbo,Translation,North America,1242,16805,82.89,0.00751,1115.0,99.12,1035.3
GPT-4,Chatbot,North America,1730,13920,92.01,0.04703,2773.8,99.09,336.3
